Тип;Код;Код группы;Наименование;Ед.изм;Категория;Концепция;Место приготовления;
Группа;Б_296;;Меню СЕГОДНЯ;;;;;
Группа;Б_233;Б_296;горячие блюда;;;;;
Блюдо;Б_643;Б_233;Язык отварной;75;Выручка;Кухня;Кухня;
Блюдо;Б_7275;Б_233;Голубцы ленивые со сметаной;220/30;Выручка;Кухня;Кухня;
Блюдо;Б_7453;Б_233;Жульен из кальмаров;120;Выручка;Кухня;Кухня;
Группа;Б_74;Б_296;гарниры;;;;;
Блюдо;Б_6924;Б_74;Картофель молодой отварной;200;Выручка;Кухня;Кухня;
Блюдо;Б_6949;Б_74;Картофельные дольки;150;Выручка;Кухня;Кухня;
Блюдо;Б_6853;Б_74;Капуста тушеная;200;Выручка;Кухня;Кухня;
Блюдо;Б_7167;Б_74;Макароны отварные;150;Выручка;Кухня;Кухня;
Блюдо;Б_7336;Б_74;Овощной микс Осенний (брок);150;Выручка;Кухня;Кухня;
Группа;Б_236;Б_296;напитки;;;;;
Блюдо;Б_710;Б_236;Сок  в ассортименте;270;Выручка;Кухня;Кухня;
Блюдо;Б_200;Б_236;Лимонад  Домашний;270;Выручка;Кухня;Кухня;
Блюдо;Б_7173;Б_236;Имбирный напиток;270;Выручка;Кухня;Кухня;
Блюдо;Б_145;Б_236;Кефир;250;Выручка;Кухня;Кухня;
Группа;Б_92;Б_296;десерты и пирожки;;;;;
Блюдо;Б_7084;Б_92;Желе фруктовое;190;Выручка;Кухня;Кухня;
Группа;Б_28;Б_296;блинчики;;;;;
Блюдо;Б_523;Б_28;Сырники запеченые со сметаной;170;Выручка;Кухня;Кухня;
Блюдо;Б_7161;Б_28;Блинчики с сыром и грибами*;100;Выручка;Кухня;Кухня;
Блюдо;Б_7471;Б_28;Блинчики с капустой и грибами*;100;Выручка;Кухня;Кухня;
Группа;Б_520;Б_296;супы;;;;;
Блюдо;Б_7191;Б_520;Хлеб;50;Выручка;Кухня;Кухня;
Блюдо;Б_7475;Б_92;Пирожное Картошка;50;Выручка;Кухня;Кухня;
Группа;Б_431;Б_296;салаты, холодные закуски;;;;;
Блюдо;Б_7470;Б_431;Ролл с курицей (б);250;Выручка;Кухня;Кухня;
Блюдо;Б_423;Б_431;Салат Цезарь с курицей;150/1;Выручка;Кухня;Кухня;
Блюдо;Б_7039;Б_431;Капуста по-слуцки;100/1;Выручка;Кухня;Кухня;
Блюдо;Б_6950;Б_431;Винегрет овощной (без капусты);100/1;Выручка;Кухня;Кухня;
Блюдо;Б_6951;Б_431;Салат Оливье с птицей;100/1;Выручка;Кухня;Кухня;
Блюдо;Б_3244;Б_431;Салат Дружба;100/1;Выручка;Кухня;Кухня;
Блюдо;Б_414;Б_431;Салат Случь;100;Выручка;Кухня;Кухня;
Блюдо;Б_7356;Б_431;Салат Александровский;100/1;Выручка;Кухня;Кухня;
Блюдо;Б_6789;Б_431;Баклажаны фашированные сыром;100/1;Выручка;Кухня;Кухня;
Блюдо;Б_7271;Б_520;Рассольник Ленинградский со сметаной;300/30;Выручка;Кухня;Кухня;
Блюдо;Б_6703;Б_520;Суп гороховый;300;Выручка;Кухня;Кухня;
Блюдо;Б_6848;Б_520;Суп-лапша грибная;300;Выручка;Кухня;Кухня;
Блюдо;Б_7142;Б_233;Шашлычки из филе с перцем;130;Выручка;Кухня;Кухня;
Блюдо;Б_7309;Б_233;Шницель по-чешски;180;Выручка;Кухня;Кухня;
Блюдо;Б_7286;Б_233;Свинина запеченая с сыром;120;Выручка;Кухня;Кухня;
Блюдо;Б_75;Б_233;Говядина в кисло-сладком соусе*;75/100;Выручка;Кухня;Кухня;
Блюдо;Б_463;Б_233;Скумбрия запеченная с помидорами;120;Выручка;Кухня;Кухня;
Блюдо;Б_7226;Б_233;Рыба запеченая с грибами (минтай филе);120;Выручка;Кухня;Кухня;
