Тип;Код;Код группы;Наименование;Ед.изм.;Цена;Включено в Меню;
Блюдо;Б_643;Б_233;Язык отварной;75;4,4;1;
Блюдо;Б_7275;Б_233;Голубцы ленивые со сметаной;220/30;3,5;1;
Блюдо;Б_7453;Б_233;Жульен из кальмаров;120;3,4;1;
Блюдо;Б_6924;Б_74;Картофель молодой отварной;200;1,6;1;
Блюдо;Б_6949;Б_74;Картофельные дольки;150;2,4;1;
Блюдо;Б_6853;Б_74;Капуста тушеная;200;1,1;1;
Блюдо;Б_7167;Б_74;Макароны отварные;150;1,3;1;
Блюдо;Б_7336;Б_74;Овощной микс Осенний (брок);150;2,2;1;
Блюдо;Б_710;Б_236;Сок  в ассортименте;270;1;1;
Блюдо;Б_200;Б_236;Лимонад  Домашний;270;0,75;1;
Блюдо;Б_7173;Б_236;Имбирный напиток;270;1,3;1;
Блюдо;Б_145;Б_236;Кефир;250;0,65;1;
Блюдо;Б_7084;Б_92;Желе фруктовое;190;1,4;1;
Блюдо;Б_523;Б_28;Сырники запеченые со сметаной;170;1,9;1;
Блюдо;Б_7161;Б_28;Блинчики с сыром и грибами*;100;1,6;1;
Блюдо;Б_7471;Б_28;Блинчики с капустой и грибами*;100;1,4;1;
Блюдо;Б_7191;Б_520;Хлеб;50;0,1;1;
Блюдо;Б_7475;Б_92;Пирожное Картошка;50;1,2;1;
Блюдо;Б_7470;Б_431;Ролл с курицей (б);250;4,5;1;
Блюдо;Б_423;Б_431;Салат Цезарь с курицей;150/1;2,5;1;
Блюдо;Б_7039;Б_431;Капуста по-слуцки;100/1;0,8;1;
Блюдо;Б_6950;Б_431;Винегрет овощной (без капусты);100/1;0,8;1;
Блюдо;Б_6951;Б_431;Салат Оливье с птицей;100/1;1,4;1;
Блюдо;Б_3244;Б_431;Салат Дружба;100/1;0,95;1;
Блюдо;Б_414;Б_431;Салат Случь;100;1,1;1;
Блюдо;Б_7356;Б_431;Салат Александровский;100/1;1,25;1;
Блюдо;Б_6789;Б_431;Баклажаны фашированные сыром;100/1;1,95;1;
Блюдо;Б_7271;Б_520;Рассольник Ленинградский со сметаной;300/30;1,4;1;
Блюдо;Б_6703;Б_520;Суп гороховый;300;1,2;1;
Блюдо;Б_6848;Б_520;Суп-лапша грибная;300;1,3;1;
Блюдо;Б_7142;Б_233;Шашлычки из филе с перцем;130;3,2;1;
Блюдо;Б_7309;Б_233;Шницель по-чешски;180;3,7;1;
Блюдо;Б_7286;Б_233;Свинина запеченая с сыром;120;3,75;1;
Блюдо;Б_75;Б_233;Говядина в кисло-сладком соусе*;75/100;5,15;1;
Блюдо;Б_463;Б_233;Скумбрия запеченная с помидорами;120;3,4;1;
Блюдо;Б_7226;Б_233;Рыба запеченая с грибами (минтай филе);120;3,8;1;
